code,fs,length,bw
imagenet,tmp,25642.644460731633,3073122651.8768196
imagenet,lustre,57069.449888651914,4329776.863150285
cifar1,lustre,1000000,30000000000
cifar2,lustre,100,50000000
simplefoam,tmp,8174.035025886037,6607254835.415439
snappyhex,tmp,8507.489602731222,7320247512.342014
potentialfoam,tmp,8177.652556706636,6446381717.156592
