cluster,fs,bytes,n_tasks,n_nodes,n_files,write_mean_rate,write_sd_rate,write_mean_time,write_sd_time,stat_mean_rate,stat_sd_rate,stat_mean_time,stat_sd_time,read_mean_rate,read_sd_rate,read_mean_time,read_sd_time,removal_mean_rate,removal_sd_rate,removal_mean_time,removal_sd_time
claix18,tmp_odirect,2,1,1,1000,4990.976,113.791,0.200,0.005,75007.887,5939.351,0.013,0.001,53365.048,1893.050,0.019,0.001,29960.261,1177.919,0.034,0.001
claix18,tmp_odirect,4,1,1,1000,4907.763,106.729,0.204,0.005,77247.914,5393.845,0.013,0.001,54345.889,2896.247,0.018,0.001,30903.363,944.344,0.032,0.001
claix18,tmp_odirect,8,1,1,1000,4911.498,99.287,0.204,0.004,76394.522,3910.639,0.013,0.001,53712.231,2365.011,0.019,0.001,30740.008,506.756,0.033,0.000
claix18,tmp_odirect,16,1,1,1000,4917.559,80.750,0.203,0.003,75235.897,3755.524,0.013,0.001,52899.784,2366.748,0.019,0.001,30074.142,1045.515,0.033,0.001
claix18,tmp_odirect,32,1,1,1000,4897.610,80.897,0.204,0.003,74306.988,4628.140,0.013,0.001,51821.526,2857.746,0.019,0.001,30427.102,449.852,0.033,0.000
claix18,tmp_odirect,64,1,1,1000,4931.684,82.592,0.203,0.003,73641.050,5820.577,0.014,0.001,52444.123,1929.488,0.019,0.001,29719.737,1339.164,0.034,0.002
claix18,tmp_odirect,128,1,1,1000,4897.590,139.935,0.204,0.006,75976.747,3734.207,0.013,0.001,53754.747,1111.486,0.019,0.000,29869.900,1013.412,0.033,0.001
claix18,tmp_odirect,256,1,1,1000,4910.473,74.804,0.204,0.003,75109.464,3067.069,0.013,0.001,53176.380,1811.745,0.019,0.001,30080.365,488.792,0.033,0.001
claix18,tmp_odirect,512,1,1,1000,4907.158,94.717,0.204,0.004,76421.803,3094.881,0.013,0.001,53249.891,1027.781,0.019,0.000,30426.555,629.799,0.033,0.001
claix18,tmp_odirect,1024,1,1,1000,4909.718,78.592,0.204,0.003,77390.599,2816.161,0.013,0.001,53649.313,980.133,0.019,0.000,30261.329,705.486,0.033,0.001
claix18,tmp_odirect,2048,1,1,1000,4952.048,81.348,0.202,0.003,73142.392,5910.811,0.014,0.001,52904.592,2214.090,0.019,0.001,29963.134,1330.713,0.034,0.002
claix18,tmp_odirect,4096,1,1,1000,4955.058,99.138,0.202,0.004,76561.185,3780.709,0.013,0.001,53747.515,3557.578,0.019,0.001,30443.164,438.534,0.033,0.001
claix18,tmp_odirect,8912,1,1,1000,4186.660,78.565,0.239,0.004,74603.340,8444.243,0.014,0.002,49116.145,3388.960,0.020,0.002,28979.454,1236.855,0.035,0.002
claix18,tmp_odirect,16384,1,1,1000,3992.118,98.647,0.251,0.006,77782.420,2954.896,0.013,0.001,49693.412,1714.074,0.020,0.001,28698.467,996.748,0.035,0.001
claix18,tmp_odirect,32768,1,1,1000,3276.854,110.716,0.305,0.011,77000.600,2704.269,0.013,0.001,44819.336,983.500,0.022,0.001,28249.124,257.261,0.035,0.001
claix18,tmp_odirect,65536,1,1,1000,2389.223,22.897,0.418,0.004,74602.645,1384.469,0.013,0.000,36094.187,748.695,0.028,0.001,25902.708,719.631,0.039,0.001
claix18,tmp_odirect,131072,1,1,1000,1723.973,70.939,0.581,0.025,74864.562,5674.301,0.014,0.001,27522.662,493.993,0.036,0.001,22519.660,620.208,0.044,0.001
claix18,tmp_odirect,262144,1,1,1000,911.910,20.280,1.097,0.024,75182.372,2337.630,0.013,0.001,18283.674,282.105,0.055,0.001,18345.579,231.901,0.055,0.001
claix18,tmp_odirect,524288,1,1,1000,510.031,2.612,1.961,0.010,76897.802,1945.911,0.013,0.000,10751.704,99.190,0.093,0.001,13028.645,220.775,0.077,0.001
claix18,tmp_odirect,1048576,1,1,1000,301.053,0.622,3.322,0.007,75030.170,2389.065,0.013,0.001,6003.023,27.313,0.167,0.001,8379.585,236.270,0.120,0.003
claix18,tmp_odirect,2097152,1,1,1000,168.334,0.440,5.941,0.016,73125.421,6226.377,0.014,0.001,3232.700,21.360,0.309,0.002,5041.172,72.642,0.198,0.003
claix18,tmp_odirect,4194304,1,1,1000,90.675,0.082,11.028,0.010,76289.881,3390.842,0.013,0.001,1696.288,10.744,0.590,0.004,2820.972,29.453,0.355,0.004
claix18,tmp_odirect,8388608,1,1,1000,47.664,0.071,20.980,0.031,75697.401,3454.348,0.013,0.001,860.137,7.155,1.163,0.010,1497.123,10.240,0.668,0.004
claix18,tmp_odirect,16777216,1,1,1000,23.983,0.395,41.707,0.704,73463.385,4883.538,0.014,0.001,327.387,21.786,3.066,0.198,779.022,6.441,1.284,0.011
claix18,tmp_odirect,33554432,1,1,1000,11.976,0.067,83.502,0.467,70795.484,3825.040,0.014,0.001,137.700,1.005,7.263,0.052,392.291,2.007,2.549,0.013
claix18,tmp_odirect,67108864,1,1,1000,5.136,0.104,194.771,4.089,74368.713,5003.485,0.014,0.001,7.120,0.270,140.632,5.491,247.809,3.930,4.036,0.065
claix18,tmp_odirect,134217728,1,1,1000,2.069,0.029,483.561,6.764,73892.294,4795.126,0.014,0.001,3.529,0.083,283.542,6.855,181.363,1.900,5.514,0.058
claix18,tmp_odirect,268435456,1,1,1000,0.870,0.021,1150.702,28.866,65048.550,4072.027,0.015,0.001,1.512,0.118,664.763,51.247,117.365,1.168,8.521,0.085
claix23,beeond,1,1,1,1000,3566.757,107.807,0.281,0.009,31385.604,722.248,0.032,0.001,5767.582,101.623,0.173,0.003,10023.702,72.281,0.100,0.001
claix23,beeond,1,1,1,1000,3248.180,174.779,0.309,0.016,26323.732,3916.260,0.039,0.005,5149.303,292.508,0.195,0.011,8541.047,386.425,0.117,0.005
claix23,beeond,4,1,1,1000,3484.390,46.789,0.287,0.004,30340.794,2407.279,0.033,0.003,5585.277,128.103,0.179,0.004,9195.492,287.957,0.109,0.003
claix23,beeond,4,1,1,1000,3151.867,89.882,0.318,0.009,25206.714,1664.140,0.040,0.003,5016.939,168.180,0.200,0.007,8647.363,639.398,0.116,0.009
claix23,beeond,16,1,1,1000,3341.170,150.199,0.300,0.014,29421.694,3232.465,0.034,0.004,5354.789,298.886,0.187,0.011,9491.811,430.949,0.106,0.005
claix23,beeond,64,1,1,1000,3213.108,79.624,0.311,0.008,23201.033,894.382,0.043,0.002,4992.406,95.307,0.200,0.004,8326.079,199.115,0.120,0.003
claix23,beeond,64,1,1,1000,3263.965,69.013,0.307,0.007,25642.949,1822.737,0.039,0.003,5208.748,134.566,0.192,0.005,8916.569,294.460,0.112,0.004
claix23,beeond,256,1,1,1000,3440.925,123.242,0.291,0.011,27995.093,2862.056,0.036,0.004,5486.305,277.938,0.183,0.010,9436.660,419.024,0.106,0.005
claix23,beeond,256,1,1,1000,3029.304,155.604,0.331,0.018,23760.128,1109.561,0.042,0.002,4742.359,139.267,0.211,0.006,8323.623,379.497,0.120,0.006
claix23,beeond,1024,1,1,1000,3250.818,189.036,0.309,0.019,25604.744,1295.118,0.039,0.002,5146.330,267.862,0.195,0.011,8881.782,164.460,0.113,0.002
claix23,beeond,1024,1,1,1000,3166.258,127.767,0.316,0.013,24282.298,960.048,0.041,0.002,5092.748,100.550,0.196,0.004,8617.855,203.023,0.116,0.003
claix23,beeond,4096,1,1,1000,3257.446,113.325,0.307,0.011,25301.555,825.444,0.040,0.001,4893.136,89.201,0.204,0.004,8984.180,420.691,0.112,0.005
claix23,beeond,4096,1,1,1000,3202.512,101.827,0.313,0.010,25235.099,1647.494,0.040,0.003,5156.198,246.614,0.194,0.009,8586.910,269.787,0.117,0.004
claix23,beeond,16384,1,1,1000,3059.929,70.218,0.327,0.007,22749.391,494.669,0.044,0.001,4648.465,137.767,0.215,0.006,7998.798,199.789,0.125,0.003
claix23,beeond,16384,1,1,1000,3356.149,106.761,0.298,0.010,29539.922,3522.896,0.034,0.004,5328.932,225.036,0.188,0.008,9364.604,450.250,0.107,0.005
claix23,beeond,65536,1,1,1000,3074.920,85.457,0.325,0.009,27440.810,2315.346,0.037,0.003,4772.545,202.672,0.210,0.009,9100.861,287.642,0.110,0.003
claix23,beeond,65536,1,1,1000,3085.382,55.770,0.324,0.006,27725.094,1147.335,0.036,0.002,4773.926,95.197,0.210,0.004,9130.475,131.926,0.110,0.002
claix23,beeond,262144,1,1,1000,2423.031,49.487,0.413,0.008,25515.870,1542.047,0.039,0.002,3509.514,105.830,0.285,0.008,8544.831,314.673,0.117,0.004
claix23,beeond,262144,1,1,1000,2648.239,63.971,0.378,0.009,26938.306,988.911,0.037,0.001,3902.433,47.895,0.256,0.003,9122.835,197.172,0.110,0.002
claix23,beeond,1048576,1,1,1000,1365.269,32.083,0.733,0.017,24103.400,1926.273,0.042,0.003,1946.937,49.783,0.514,0.013,7484.690,365.569,0.134,0.006
claix23,beeond,1048576,1,1,1000,1531.312,58.393,0.654,0.025,25020.501,2164.848,0.040,0.003,2072.077,47.610,0.483,0.011,8004.042,532.484,0.125,0.009
claix23,beeond,4194304,1,1,1000,491.931,9.825,2.034,0.040,28295.723,2444.348,0.036,0.003,605.899,17.215,1.652,0.046,7727.847,495.871,0.130,0.009
claix23,beeond,16777216,1,1,1000,142.033,3.229,7.044,0.160,23345.490,1322.340,0.043,0.002,168.185,4.507,5.950,0.160,5104.330,936.824,0.202,0.035
claix23,beeond,67108864,1,1,1000,39.504,1.285,25.337,0.808,22774.441,1506.756,0.044,0.003,45.417,3.690,22.152,1.840,1091.787,254.744,0.972,0.273
claix23,beeond,1,2,2,1000,6223.547,254.007,0.161,0.007,46620.123,3630.850,0.022,0.002,9867.582,764.267,0.102,0.008,16139.331,436.056,0.062,0.002
claix23,beeond,1,2,2,1000,6124.031,273.520,0.164,0.007,46309.717,2567.940,0.022,0.001,9610.306,611.036,0.104,0.006,16016.433,360.968,0.062,0.001
claix23,beeond,4,2,2,1000,6350.230,224.323,0.158,0.006,47283.349,1475.457,0.021,0.001,10143.299,492.919,0.099,0.005,16897.815,569.340,0.059,0.002
claix23,beeond,4,2,2,1000,6181.647,291.074,0.162,0.008,46431.059,5637.377,0.022,0.002,9825.757,436.713,0.102,0.005,16157.032,1259.833,0.062,0.005
claix23,beeond,16,2,2,1000,6472.509,138.194,0.155,0.003,48175.406,3060.380,0.021,0.001,10004.033,348.769,0.100,0.003,16738.510,771.393,0.060,0.003
claix23,beeond,16,2,2,1000,6213.757,231.015,0.161,0.006,47217.414,2445.034,0.021,0.001,9853.328,367.974,0.102,0.004,16920.802,850.246,0.059,0.003
claix23,beeond,64,2,2,1000,6338.340,194.622,0.158,0.005,48710.733,3310.761,0.021,0.001,10134.677,620.449,0.099,0.006,16469.091,972.470,0.061,0.004
claix23,beeond,64,2,2,1000,6579.365,255.596,0.152,0.006,50556.853,2872.080,0.020,0.001,10412.089,509.770,0.096,0.005,17280.057,589.701,0.058,0.002
claix23,beeond,256,2,2,1000,6216.893,202.811,0.161,0.005,45540.022,1440.785,0.022,0.001,9801.398,494.027,0.102,0.005,16263.181,478.662,0.062,0.002
claix23,beeond,256,2,2,1000,6573.583,169.379,0.152,0.004,47512.938,2069.898,0.021,0.001,10587.356,290.140,0.095,0.003,16392.972,539.482,0.061,0.002
claix23,beeond,1024,2,2,1000,6606.244,385.144,0.152,0.009,49506.615,3230.143,0.020,0.001,10655.969,374.042,0.094,0.003,17882.076,1222.914,0.056,0.004
claix23,beeond,1024,2,2,1000,6329.994,275.627,0.158,0.007,47799.238,4105.611,0.021,0.002,10374.378,417.205,0.097,0.004,16516.345,1046.994,0.061,0.004
claix23,beeond,4096,2,2,1000,6492.465,292.626,0.154,0.007,48345.379,2182.323,0.021,0.001,10265.210,414.749,0.098,0.004,17244.211,683.130,0.058,0.002
claix23,beeond,4096,2,2,1000,6362.452,330.769,0.158,0.008,47278.467,3524.940,0.021,0.002,9823.430,681.867,0.102,0.007,16614.835,1082.437,0.060,0.004
claix23,beeond,16384,2,2,1000,5868.873,316.887,0.171,0.009,43735.660,3954.343,0.023,0.002,8741.437,799.591,0.115,0.010,15790.552,609.928,0.063,0.002
claix23,beeond,16384,2,2,1000,6433.955,139.717,0.155,0.003,49940.487,1411.861,0.020,0.001,10061.966,179.814,0.099,0.002,17678.215,842.099,0.057,0.003
claix23,beeond,65536,2,2,1000,5660.411,193.993,0.177,0.006,44889.544,2589.513,0.022,0.001,8725.106,243.886,0.115,0.003,15847.130,816.813,0.063,0.003
claix23,beeond,65536,2,2,1000,5816.559,238.571,0.172,0.007,48729.847,3683.471,0.021,0.002,8728.611,441.184,0.115,0.006,16886.566,757.121,0.059,0.003
claix23,beeond,262144,2,2,1000,4758.332,144.871,0.210,0.006,50405.866,4259.468,0.020,0.002,7102.315,363.889,0.141,0.007,17154.086,808.473,0.058,0.003
claix23,beeond,262144,2,2,1000,4563.029,259.531,0.220,0.013,45919.225,3935.856,0.022,0.002,6974.070,700.370,0.145,0.016,15888.448,1037.826,0.063,0.004
claix23,beeond,1048576,2,2,1000,2919.028,375.400,0.348,0.050,46362.814,5984.834,0.022,0.003,4061.310,475.975,0.250,0.032,15138.888,801.172,0.066,0.003
claix23,beeond,1048576,2,2,1000,2861.793,237.747,0.352,0.031,43715.106,2767.247,0.023,0.002,3650.000,225.355,0.275,0.017,14354.309,1195.914,0.070,0.005
claix23,beeond,1,4,1,1000,11325.146,940.061,0.089,0.008,86944.252,1197.320,0.012,0.000,18781.912,184.844,0.053,0.001,26036.740,297.210,0.038,0.000
claix23,beeond,4,4,1,1000,11945.932,769.648,0.084,0.006,91849.931,2635.157,0.011,0.000,20033.951,191.022,0.050,0.000,26134.794,380.625,0.038,0.001
claix23,beeond,16,4,1,1000,10748.218,750.186,0.094,0.007,83973.812,2813.267,0.012,0.000,18005.786,232.064,0.056,0.001,24946.355,260.157,0.040,0.000
claix23,beeond,64,4,1,1000,11004.386,577.563,0.091,0.005,83616.929,1868.026,0.012,0.000,18228.835,178.083,0.055,0.001,25723.784,281.758,0.039,0.000
claix23,beeond,256,4,1,1000,11344.077,838.104,0.089,0.007,89055.118,2201.117,0.011,0.000,19197.852,176.532,0.052,0.000,25333.642,381.434,0.039,0.001
claix23,beeond,1024,4,1,1000,11292.345,851.726,0.089,0.007,89110.246,1717.329,0.011,0.000,18797.623,234.557,0.053,0.001,26302.599,304.000,0.038,0.000
claix23,beeond,4096,4,1,1000,10993.837,722.973,0.091,0.006,85659.644,2179.423,0.012,0.000,17875.329,123.622,0.056,0.000,26080.546,244.466,0.038,0.000
claix23,beeond,16384,4,1,1000,10890.657,711.957,0.092,0.007,83465.845,2224.172,0.012,0.000,17445.627,227.013,0.057,0.001,25159.955,309.260,0.040,0.000
claix23,beeond,65536,4,1,1000,10196.038,619.159,0.098,0.006,88197.254,826.340,0.011,0.000,16064.963,92.256,0.062,0.000,25976.914,445.037,0.039,0.001
claix23,beeond,262144,4,1,1000,7102.941,324.143,0.141,0.007,86016.563,1601.122,0.012,0.000,11528.229,177.484,0.087,0.001,24432.924,438.282,0.041,0.001
claix23,beeond,1048576,4,1,1000,3774.378,76.437,0.265,0.005,89579.090,2052.154,0.011,0.000,6042.655,159.379,0.166,0.005,24280.300,579.291,0.041,0.001
claix23,beeond,4194304,4,1,1000,1205.172,20.696,0.830,0.014,86152.069,4027.439,0.012,0.001,2000.445,67.616,0.500,0.017,17967.312,3842.777,0.059,0.016
claix23,beeond,16777216,4,1,1000,358.812,28.204,2.802,0.216,85670.012,3121.444,0.012,0.000,583.944,40.298,1.720,0.117,5609.316,1201.445,0.185,0.036
claix23,beeond,67108864,4,1,1000,121.031,2.035,8.264,0.138,87233.790,1769.351,0.011,0.000,146.655,6.894,6.832,0.320,1525.998,256.660,0.672,0.115
claix23,beeond,1,4,2,1000,10861.045,1543.070,0.094,0.019,79001.586,10894.618,0.013,0.002,17650.159,1501.898,0.057,0.005,27473.188,1813.944,0.037,0.002
claix23,beeond,1,4,2,1000,11825.664,793.677,0.085,0.006,86447.803,3359.922,0.012,0.000,19638.555,490.922,0.051,0.001,29239.873,1776.694,0.034,0.002
claix23,beeond,4,4,2,1000,11815.629,628.282,0.085,0.005,88856.519,3421.183,0.011,0.000,19178.035,764.455,0.052,0.002,28975.570,1838.401,0.035,0.002
claix23,beeond,4,4,2,1000,11903.596,525.941,0.084,0.004,83801.945,7045.603,0.012,0.001,19020.689,469.661,0.053,0.001,28628.856,2216.764,0.035,0.003
claix23,beeond,16,4,2,1000,11878.556,703.015,0.084,0.005,83712.305,2065.006,0.012,0.000,19047.044,556.323,0.053,0.002,29051.185,1811.748,0.035,0.002
claix23,beeond,16,4,2,1000,11806.539,720.085,0.085,0.006,82864.734,8699.509,0.012,0.002,19724.964,563.408,0.051,0.001,29291.817,1741.925,0.034,0.002
claix23,beeond,64,4,2,1000,11409.966,1363.892,0.089,0.014,84089.767,6082.817,0.012,0.001,19004.103,1154.545,0.053,0.003,28531.154,1975.987,0.035,0.002
claix23,beeond,64,4,2,1000,11830.799,678.554,0.085,0.005,87195.864,3900.667,0.011,0.001,19969.501,484.635,0.050,0.001,29354.839,1528.673,0.034,0.002
claix23,beeond,256,4,2,1000,11660.427,567.620,0.086,0.004,85827.337,5080.604,0.012,0.001,18888.433,671.187,0.053,0.002,29273.823,1920.674,0.034,0.002
claix23,beeond,256,4,2,1000,11543.152,863.264,0.087,0.007,82637.570,4283.603,0.012,0.001,18935.863,797.480,0.053,0.002,27021.074,1620.370,0.037,0.002
claix23,beeond,1024,4,2,1000,12251.835,660.467,0.082,0.005,87671.850,6921.120,0.011,0.001,19554.701,771.122,0.051,0.002,30978.077,2082.881,0.032,0.002
claix23,beeond,1024,4,2,1000,12024.704,781.151,0.084,0.006,83694.992,7579.902,0.012,0.001,19385.207,383.756,0.052,0.001,30066.523,1282.313,0.033,0.001
claix23,beeond,4096,4,2,1000,12073.540,724.284,0.083,0.006,88587.517,9006.363,0.011,0.001,19721.743,321.325,0.051,0.001,30132.153,1668.039,0.033,0.002
claix23,beeond,4096,4,2,1000,11815.629,591.859,0.085,0.005,85411.149,5543.847,0.012,0.001,19244.410,569.821,0.052,0.002,29620.058,1585.489,0.034,0.002
claix23,beeond,16384,4,2,1000,11306.809,549.679,0.089,0.005,81887.436,7505.237,0.012,0.001,17888.017,635.778,0.056,0.002,28555.847,1423.584,0.035,0.002
claix23,beeond,16384,4,2,1000,11549.766,581.407,0.087,0.005,88387.105,3939.512,0.011,0.001,18601.839,571.882,0.054,0.002,28754.847,1825.835,0.035,0.002
claix23,beeond,65536,4,2,1000,10078.536,747.296,0.100,0.008,86053.367,5739.762,0.012,0.001,16233.582,1120.385,0.062,0.005,28113.186,2047.011,0.036,0.003
claix23,beeond,65536,4,2,1000,10601.833,477.945,0.095,0.005,89879.482,5552.082,0.011,0.001,16363.284,758.106,0.061,0.003,28926.921,1711.136,0.035,0.002
claix23,beeond,262144,4,2,1000,7687.704,263.463,0.130,0.005,84622.481,8431.976,0.012,0.001,11932.386,340.609,0.084,0.002,28165.446,1486.474,0.036,0.002
claix23,beeond,262144,4,2,1000,7744.953,350.369,0.129,0.006,87889.820,3421.551,0.011,0.000,12474.358,417.535,0.080,0.003,29021.709,1657.733,0.035,0.002
claix23,beeond,1048576,4,2,1000,4587.359,674.026,0.222,0.032,79388.742,5056.361,0.013,0.001,7150.768,1003.334,0.142,0.020,26533.920,996.505,0.038,0.001
claix23,beeond,1048576,4,2,1000,4783.863,614.720,0.212,0.027,77927.482,9679.002,0.013,0.002,6955.269,991.289,0.146,0.020,25601.441,2021.092,0.039,0.003
claix23,beeond,4194304,4,2,1000,1933.247,92.283,0.518,0.024,73878.026,9617.034,0.014,0.002,2824.984,183.102,0.355,0.022,22280.011,4203.584,0.047,0.012
claix23,beeond,16777216,4,2,1000,588.910,43.026,1.708,0.148,71144.574,11464.173,0.014,0.003,911.215,110.555,1.118,0.193,8813.233,2534.235,0.130,0.071
claix23,beeond,67108864,4,2,1000,172.124,1.699,5.810,0.057,74606.993,12204.323,0.014,0.002,209.409,2.251,4.776,0.052,3034.428,472.339,0.336,0.047
claix23,beeond,268435456,4,2,1000,42.337,2.802,23.721,1.701,73616.887,7851.401,0.014,0.002,56.218,1.943,17.808,0.655,897.893,159.245,1.144,0.189
claix23,beeond,1,4,4,1000,11005.336,996.529,0.092,0.009,77273.381,10056.431,0.013,0.002,16645.051,723.242,0.060,0.003,30008.912,1011.758,0.033,0.001
claix23,beeond,4,4,4,1000,11752.366,539.751,0.085,0.004,87005.055,6126.241,0.012,0.001,18414.971,1066.144,0.054,0.003,30715.200,2406.687,0.033,0.003
claix23,beeond,16,4,4,1000,11135.423,2255.598,0.096,0.034,84376.080,9579.001,0.012,0.002,18646.302,1154.116,0.054,0.003,31140.208,1700.349,0.032,0.002
claix23,beeond,64,4,4,1000,11959.820,642.901,0.084,0.005,84729.318,9003.158,0.012,0.002,19246.296,717.198,0.052,0.002,31801.221,1506.151,0.032,0.002
claix23,beeond,256,4,4,1000,11983.657,451.197,0.084,0.003,81756.049,7433.075,0.012,0.001,19100.620,956.159,0.052,0.003,32424.435,1145.341,0.031,0.001
claix23,beeond,1024,4,4,1000,11485.919,1058.042,0.088,0.009,77088.465,14785.062,0.014,0.004,17567.154,1519.885,0.057,0.005,30013.424,1254.568,0.033,0.001
claix23,beeond,4096,4,4,1000,12457.742,527.823,0.080,0.004,87160.404,4208.089,0.011,0.001,18747.194,780.970,0.053,0.002,32624.207,1129.091,0.031,0.001
claix23,beeond,16384,4,4,1000,12578.988,691.932,0.080,0.005,86357.535,9147.047,0.012,0.001,19349.047,571.753,0.052,0.002,32858.660,1711.588,0.031,0.002
claix23,beeond,65536,4,4,1000,10552.207,918.663,0.095,0.009,84434.888,4481.894,0.012,0.001,16361.873,574.761,0.061,0.002,31723.759,1711.170,0.032,0.002
claix23,beeond,262144,4,4,1000,7765.309,985.185,0.131,0.018,69975.188,12745.052,0.015,0.003,11397.593,1552.882,0.089,0.012,27781.375,1905.492,0.036,0.003
claix23,beeond,1048576,4,4,1000,4558.940,958.384,0.231,0.062,68771.881,7711.101,0.015,0.002,6829.100,1139.285,0.151,0.034,27085.318,1545.543,0.037,0.002
claix23,beeond,4194304,4,4,1000,2680.364,142.532,0.374,0.020,67921.481,13791.697,0.015,0.003,3170.789,160.151,0.316,0.016,25074.453,1546.762,0.040,0.003
claix23,beeond,16777216,4,4,1000,866.271,148.038,1.209,0.356,73387.116,15368.104,0.014,0.003,968.032,123.357,1.055,0.195,14280.991,4443.853,0.089,0.075
claix23,beeond,67108864,4,4,1000,237.059,4.016,4.219,0.072,65503.847,12922.143,0.016,0.003,251.336,4.759,3.980,0.078,6240.389,3525.332,0.190,0.066
claix23,beeond,268435456,4,4,1000,68.293,0.552,14.644,0.118,75609.885,9892.931,0.013,0.002,69.833,0.684,14.321,0.143,1495.771,237.112,0.685,0.117
claix23,beeond,50331648,96,1,96,215.394,13.140,0.447,0.029,20382.955,19345.845,0.012,0.008,196.154,8.949,0.490,0.024,1150.037,186.768,0.085,0.013
claix23,beeond,25165824,96,1,192,405.982,12.833,0.473,0.015,40356.603,13442.340,0.011,0.020,397.856,11.300,0.483,0.014,2365.567,146.066,0.081,0.005
claix23,beeond,10066329,96,1,480,1030.364,76.443,0.468,0.036,39400.583,8642.856,0.013,0.004,1025.900,60.530,0.469,0.028,5154.883,344.219,0.094,0.007
claix23,beeond,5033164,96,1,960,1977.183,92.026,0.487,0.023,41821.714,6569.417,0.024,0.006,1898.121,119.041,0.508,0.031,6368.964,225.803,0.151,0.005
claix23,beeond,2396745,96,1,2016,2650.094,49.642,0.761,0.014,41262.759,1344.852,0.049,0.002,3771.862,190.127,0.536,0.026,6950.943,169.837,0.290,0.007
claix23,beeond,1198372,96,1,4032,4046.616,155.666,0.998,0.041,58391.145,16712.532,0.074,0.021,6958.053,319.265,0.581,0.027,7170.575,80.950,0.562,0.006
claix23,beeond,592137,96,1,8160,5008.013,1021.634,1.761,0.718,42638.424,1321.048,0.192,0.006,9299.427,272.556,0.878,0.025,7461.687,199.739,1.094,0.029
claix23,beeond,296068,96,1,16320,5971.662,134.026,2.734,0.061,44842.055,5263.617,0.368,0.042,9436.694,1434.965,1.788,0.430,7516.029,407.564,2.177,0.119
claix23,beeond,147600,96,1,32736,5953.840,108.038,5.500,0.098,43581.017,2347.054,0.753,0.042,10188.933,191.650,3.214,0.061,6756.468,1004.925,4.968,0.917
claix23,beeond,73800,96,1,65472,5886.214,58.344,11.124,0.110,41238.055,2430.485,1.593,0.099,10280.660,803.879,6.412,0.623,6713.480,702.537,9.853,1.070
claix23,beeond,36873,96,1,131040,5966.441,49.356,21.964,0.181,40641.366,2295.901,3.235,0.205,10308.718,647.449,12.764,0.925,6416.713,292.714,20.458,0.876
claix23,beeond,18436,96,1,262080,5724.996,97.716,45.790,0.772,39346.667,2845.559,6.697,0.557,10413.005,119.148,25.171,0.285,6951.671,252.482,37.744,1.334
claix23,beeond,9216,96,1,524256,5798.408,72.523,90.427,1.133,39789.681,1941.522,13.205,0.666,10585.809,91.960,49.528,0.428,6901.542,144.385,75.993,1.640
claix23,beeond,1,1000,20,1000,8144.530,17060.927,15.136,7.964,61468.525,26985.644,0.020,0.013,45172.555,15643.541,0.024,0.008,64633.269,30267.777,0.022,0.020
claix23,beeond,4,1000,20,1000,4063.160,12681.629,17.023,5.973,65813.104,24619.783,0.019,0.014,36051.278,9795.760,0.031,0.016,70660.323,33620.291,0.021,0.019
claix23,beeond,16,1000,20,1000,1350.745,4104.439,17.051,5.964,55372.829,28330.704,0.022,0.011,36843.184,10805.080,0.030,0.013,66839.510,31244.100,0.023,0.023
claix23,beeond,64,1000,20,1000,3541.830,11033.220,17.042,5.978,61108.311,31300.988,0.023,0.017,39570.103,8131.536,0.026,0.007,65589.144,31881.991,0.022,0.017
claix23,beeond,256,1000,20,1000,18528.078,24637.829,11.356,9.755,68721.911,28535.755,0.017,0.009,40757.739,4127.054,0.025,0.002,65572.295,32012.359,0.020,0.011
claix23,beeond,1024,1000,20,1000,9710.945,20584.425,15.149,7.973,58681.637,24442.732,0.021,0.011,40116.160,10773.830,0.028,0.015,62435.363,34080.550,0.020,0.009
claix23,beeond,4096,1000,20,1000,3874.725,12085.845,17.034,5.976,59134.448,29087.195,0.021,0.012,41030.254,11767.756,0.026,0.007,72169.233,29755.791,0.019,0.018
claix23,beeond,16384,1000,20,1000,7691.755,16367.767,15.243,8.028,55167.353,31676.689,0.023,0.011,42331.524,17675.496,0.027,0.012,67583.809,33491.807,0.022,0.019
claix23,beeond,65536,1000,20,1000,52.842,0.131,18.924,0.047,53392.673,19236.271,0.022,0.012,34931.901,9887.583,0.034,0.022,65503.332,27917.940,0.020,0.014
claix23,beeond,262144,1000,20,1000,4016.503,12534.467,17.062,5.987,55606.352,27023.644,0.022,0.010,36261.725,16449.452,0.032,0.011,69585.297,30352.303,0.019,0.015
claix23,beeond,1048576,1000,20,1000,9937.415,21296.970,15.149,7.973,64290.456,26254.854,0.020,0.015,34155.550,12790.837,0.034,0.015,58356.968,15530.316,0.018,0.005
claix23,lustre,1,1,1,1000,3727.262,161.104,0.269,0.012,3686.456,204.690,0.272,0.015,4071.690,188.164,0.246,0.012,3229.739,126.584,0.310,0.013
claix23,lustre,1,1,1,1000,4248.406,80.171,0.235,0.005,4692.128,169.515,0.213,0.007,4762.393,266.436,0.211,0.012,3781.093,26.096,0.264,0.002
claix23,lustre,4,1,1,1000,3249.654,984.171,0.370,0.240,3083.322,925.791,0.385,0.237,4149.216,246.453,0.242,0.016,2908.060,422.778,0.353,0.073
claix23,lustre,4,1,1,1000,3927.714,61.010,0.255,0.004,4260.023,201.100,0.235,0.012,4257.006,174.477,0.235,0.010,3524.823,32.274,0.284,0.003
