cluster,fs,bytes,n_tasks,n_nodes,n_files,write_mean_rate,write_sd_rate,write_mean_time,write_sd_time,stat_mean_rate,stat_sd_rate,stat_mean_time,stat_sd_time,read_mean_rate,read_sd_rate,read_mean_time,read_sd_time,removal_mean_rate,removal_sd_rate,removal_mean_time,removal_sd_time
claix18,beeond,64,2,2,1000,2451.630,89.308,0.817,0.029,19537.500,2302.535,0.103,0.011,3251.034,180.345,0.617,0.033,8954.793,93.574,0.223,0.002
claix18,beeond,128,2,2,1000,2506.964,89.124,0.799,0.028,20823.735,3367.961,0.098,0.015,3372.453,241.288,0.596,0.041,8999.053,72.261,0.222,0.002
claix18,beeond,256,2,2,1000,2458.617,113.250,0.815,0.037,19698.540,1021.550,0.102,0.005,3434.837,262.175,0.585,0.044,8946.442,96.033,0.224,0.002
claix18,beeond,512,2,2,1000,2555.969,110.404,0.784,0.034,20622.941,2334.804,0.098,0.010,3423.178,230.491,0.587,0.040,9032.616,80.863,0.221,0.002
claix18,beeond,1024,2,2,1000,2526.175,136.963,0.794,0.042,19670.757,2427.253,0.103,0.012,3377.559,282.081,0.596,0.048,9043.074,91.308,0.221,0.002
claix18,beeond,2048,2,2,1000,2563.992,182.653,0.783,0.053,20208.922,3765.362,0.102,0.016,3425.668,108.448,0.584,0.018,8884.025,135.405,0.225,0.003
claix18,beeond,4096,2,2,1000,2482.156,130.681,0.808,0.043,20455.004,2841.430,0.100,0.012,3212.744,314.010,0.628,0.058,8998.986,76.210,0.222,0.002
claix18,beeond,8912,2,2,1000,2445.435,150.292,0.821,0.049,20064.950,2702.814,0.101,0.011,3256.161,271.540,0.618,0.048,9109.895,99.247,0.220,0.002
claix18,beeond,16384,2,2,1000,2472.353,114.048,0.810,0.037,20189.258,2203.848,0.100,0.011,3241.630,128.208,0.618,0.024,9064.933,194.601,0.221,0.005
claix18,beeond,32768,2,2,1000,2509.780,164.470,0.800,0.051,21402.775,4421.605,0.097,0.016,3338.468,237.415,0.602,0.043,8887.334,119.083,0.225,0.003
claix18,beeond,65536,2,2,1000,2350.632,96.336,0.852,0.034,20706.039,2152.764,0.098,0.010,3725.986,214.190,0.538,0.030,9070.546,198.149,0.221,0.005
claix18,beeond,131072,2,2,1000,2232.522,259.619,0.906,0.099,20220.408,2669.413,0.100,0.012,3243.693,162.477,0.618,0.031,9006.235,179.290,0.222,0.005
claix18,beeond,262144,2,2,1000,1932.675,89.871,1.037,0.048,20978.465,3131.403,0.097,0.014,2508.840,89.249,0.798,0.029,8965.563,146.766,0.223,0.004
claix18,beeond,524288,2,2,1000,1589.302,93.519,1.262,0.074,21075.800,3516.157,0.097,0.015,1846.435,68.866,1.085,0.038,8977.909,88.004,0.223,0.002
claix18,beeond,1048576,2,2,1000,1414.775,51.297,1.415,0.051,20427.137,1545.981,0.098,0.007,1548.970,33.281,1.292,0.028,8978.845,103.136,0.223,0.003
